date,estate_id,fertilizer_kg,working_days,disruption_days
2025-09-01,EST001,49094.0,25.0,2.0
2025-10-01,EST001,42073.0,25.0,0.0
2025-11-01,EST001,34851.0,24.0,2.0
2025-12-01,EST001,50121.0,23.0,0.0
2019-01-01,EST002,38642.0,22.0,1.0
2019-02-01,EST002,29565.0,23.0,0.0
2019-03-01,EST002,34611.0,26.0,1.0
2019-04-01,EST002,47281.0,25.0,1.0
2019-05-01,EST002,37950.0,26.0,0.0
2019-06-01,EST002,44488.0,25.0,0.0
2019-07-01,EST002,42660.0,25.0,0.0
2019-08-01,EST002,39606.0,26.0,1.0
2019-09-01,EST002,38828.0,26.0,1.0
2019-10-01,EST002,36510.0,23.0,1.0
2019-11-01,EST002,33837.0,26.0,0.0
2019-12-01,EST002,35728.0,23.0,1.0
2020-01-01,EST002,40232.0,23.0,3.0
2020-02-01,EST002,37904.0,23.0,1.0
2020-03-01,EST002,43819.0,25.0,0.0
2020-04-01,EST002,35810.0,25.0,1.0
2020-05-01,EST002,40979.0,26.0,1.0
2020-06-01,EST002,42970.0,25.0,2.0
2020-07-01,EST002,38251.0,26.0,2.0
2020-08-01,EST002,41572.0,25.0,0.0
2020-09-01,EST002,34859.0,22.0,1.0
2020-10-01,EST002,39089.0,22.0,2.0
2020-11-01,EST002,32106.0,26.0,2.0
2020-12-01,EST002,37590.0,25.0,1.0
2021-01-01,EST002,38724.0,25.0,4.0
2021-02-01,EST002,37819.0,23.0,2.0
2021-03-01,EST002,46797.0,24.0,4.0
2021-04-01,EST002,41284.0,26.0,2.0
2021-05-01,EST002,40111.0,24.0,1.0
2021-06-01,EST002,38168.0,24.0,2.0
2021-07-01,EST002,41406.0,26.0,1.0
2021-08-01,EST002,31149.0,25.0,2.0
2021-09-01,EST002,36105.0,26.0,0.0
2021-10-01,EST002,40143.0,24.0,2.0
2021-11-01,EST002,36105.0,25.0,3.0
2021-12-01,EST002,28947.0,22.0,2.0
2022-01-01,EST002,33023.0,26.0,1.0
2022-02-01,EST002,35856.0,26.0,1.0
2022-03-01,EST002,44646.0,25.0,0.0
2022-04-01,EST002,38011.0,22.0,0.0
2022-05-01,EST002,35202.0,22.0,0.0
2022-06-01,EST002,34537.0,25.0,1.0
2022-07-01,EST002,38482.0,23.0,3.0
2022-08-01,EST002,37647.0,26.0,3.0
2022-09-01,EST002,36888.0,26.0,2.0
2022-10-01,EST002,36786.0,24.0,1.0
2022-11-01,EST002,29646.0,25.0,1.0
2022-12-01,EST002,31828.0,24.0,1.0
2023-01-01,EST002,33077.0,24.0,1.0
2023-02-01,EST002,30888.0,22.0,2.0
2023-03-01,EST002,32083.0,26.0,1.0
2023-04-01,EST002,32138.0,24.0,2.0
2023-05-01,EST002,42570.0,22.0,1.0
2023-06-01,EST002,37747.0,25.0,2.0
2023-07-01,EST002,37251.0,24.0,0.0
2023-08-01,EST002,37377.0,26.0,0.0
2023-09-01,EST002,37646.5,24.0,0.0
2023-10-01,EST002,37916.0,25.0,1.0
2023-11-01,EST002,31281.0,24.0,2.0
2023-12-01,EST002,39223.0,26.0,4.0
2024-01-01,EST002,33400.0,22.0,0.0
2024-02-01,EST002,36253.0,26.0,1.0
2024-03-01,EST002,39200.0,22.0,1.0
2024-04-01,EST002,45803.0,23.0,2.0
2024-05-01,EST002,37274.0,26.0,1.0
2024-06-01,EST002,39817.0,26.0,4.0
2024-07-01,EST002,43023.0,25.0,0.0
2024-08-01,EST002,31062.0,24.0,2.0
2024-09-01,EST002,39674.0,22.0,1.0
2024-10-01,EST002,38663.0,22.0,1.0
2024-11-01,EST002,34325.0,25.0,0.0
2024-12-01,EST002,34224.0,25.0,1.0
2025-01-01,EST002,45261.0,24.0,0.0
2025-02-01,EST002,42382.0,24.0,1.0
2025-03-01,EST002,40728.0,26.0,1.0
2025-04-01,EST002,34655.0,23.0,1.0
2025-05-01,EST002,42652.0,24.0,3.0
2025-06-01,EST002,45653.0,25.0,1.0
2025-07-01,EST002,36350.5,24.0,1.0
2025-08-01,EST002,27048.0,22.0,1.0
2025-09-01,EST002,39613.0,23.0,2.0
2025-10-01,EST002,29850.0,26.0,0.0
2025-11-01,EST002,34616.0,22.0,3.0
2025-12-01,EST002,35977.0,22.0,1.0
2019-01-01,EST003,54093.0,23.0,0.0
2019-02-01,EST003,53947.0,26.0,0.0
2019-03-01,EST003,45124.0,25.0,1.0
2019-04-01,EST003,49804.0,26.0,0.0
2019-05-01,EST003,51160.0,24.0,2.0
2019-06-01,EST003,49795.0,22.0,1.0
2019-07-01,EST003,47718.0,24.0,0.0
2019-08-01,EST003,46556.0,25.0,0.0
2019-09-01,EST003,57453.0,24.0,1.0
2019-10-01,EST003,40292.0,26.0,0.0
2019-11-01,EST003,43614.0,24.0,2.0
2019-12-01,EST003,45831.0,25.0,1.0
2020-01-01,EST003,58759.0,25.0,1.0
2020-02-01,EST003,53636.0,25.0,1.0
2020-03-01,EST003,57311.0,26.0,1.0
2020-04-01,EST003,50396.0,25.0,1.0
2020-05-01,EST003,49615.0,22.0,5.0
2020-06-01,EST003,41119.0,25.0,0.0
2020-07-01,EST003,51868.0,24.0,1.0
2020-08-01,EST003,55691.0,24.0,2.0
2020-09-01,EST003,52718.0,24.0,1.0
2020-10-01,EST003,57719.0,26.0,0.0
2020-11-01,EST003,62312.0,24.0,2.0
2020-12-01,EST003,44196.0,26.0,1.0
2021-01-01,EST003,55132.0,26.0,1.0
2021-02-01,EST003,40965.0,25.0,1.0
2021-03-01,EST003,54333.0,22.0,0.0
2021-04-01,EST003,48263.0,25.0,0.0
2021-05-01,EST003,37784.0,25.0,2.0
2021-06-01,EST003,44765.0,26.0,0.0
2021-07-01,EST003,51199.0,26.0,3.0
2021-08-01,EST003,51702.0,24.0,2.0
2021-09-01,EST003,50292.0,24.0,4.0
2021-10-01,EST003,42807.0,25.0,1.0
2021-11-01,EST003,37602.0,23.0,3.0
2021-12-01,EST003,52205.0,23.0,0.0
2022-01-01,EST003,48584.0,24.0,2.0
2022-02-01,EST003,58248.0,23.0,1.0
2022-03-01,EST003,51364.0,24.0,1.0
2022-04-01,EST003,58299.0,26.0,0.0
2022-05-01,EST003,52385.0,25.0,1.0
2022-06-01,EST003,50204.0,22.0,0.0
2022-07-01,EST003,52087.0,25.0,0.0
2022-08-01,EST003,45471.0,24.0,2.0
2022-09-01,EST003,44706.0,24.0,0.0
2022-10-01,EST003,58748.0,25.0,0.0
2022-11-01,EST003,52049.0,24.0,3.0
2022-12-01,EST003,56417.0,23.0,2.0
2023-01-01,EST003,57687.0,23.0,1.0
2023-02-01,EST003,54072.0,24.0,4.0
2023-03-01,EST003,58608.0,24.0,1.0
2023-04-01,EST003,49468.0,23.0,1.0
2023-05-01,EST003,53504.0,24.0,2.0
2023-06-01,EST003,49748.0,24.0,2.0
2023-07-01,EST003,51913.0,25.0,1.0
2023-08-01,EST003,55707.0,22.0,1.0
2023-09-01,EST003,55968.0,23.0,3.0
2023-10-01,EST003,59666.0,25.0,3.0
2023-11-01,EST003,49342.0,22.0,1.0
2023-12-01,EST003,45064.0,24.0,1.0
2024-01-01,EST003,49451.0,24.0,1.0
2024-02-01,EST003,46383.0,25.0,2.0
2024-03-01,EST003,62190.0,24.0,0.0
2024-04-01,EST003,46359.0,26.0,0.0
2024-05-01,EST003,41052.0,25.0,1.0
2024-06-01,EST003,40900.0,22.0,1.0
2024-07-01,EST003,51816.0,25.0,0.0
2024-08-01,EST003,53622.0,23.0,2.0
2024-09-01,EST003,50703.0,25.0,2.0
2024-10-01,EST003,41297.0,24.0,1.0
2024-11-01,EST003,49051.0,24.0,1.0
2024-12-01,EST003,47286.0,26.0,2.0
2025-01-01,EST003,56930.0,26.0,2.0
2025-02-01,EST003,47186.0,26.0,3.0
2025-03-01,EST003,46774.0,22.0,3.0
2025-04-01,EST003,45723.0,26.0,2.0
2025-05-01,EST003,64614.0,22.0,0.0
2025-06-01,EST003,48830.0,26.0,2.0
2025-07-01,EST003,49695.0,22.0,1.0
2025-08-01,EST003,45020.0,25.0,1.0
2025-09-01,EST003,49095.0,25.0,2.0
2025-10-01,EST003,38901.0,24.0,2.0
2025-11-01,EST003,49516.0,22.0,2.0
2025-12-01,EST003,59908.0,23.0,0.0
2019-01-01,EST004,42543.0,24.0,0.0
2019-02-01,EST004,33380.0,25.0,0.0
2019-03-01,EST004,39046.0,25.5,2.0
2019-04-01,EST004,46740.0,26.0,0.0
2019-05-01,EST004,41039.0,23.0,2.0
2019-06-01,EST004,35112.0,25.0,2.0
2019-07-01,EST004,50203.0,24.0,2.0
2019-08-01,EST004,45222.0,22.0,1.0
2019-09-01,EST004,43383.0,23.0,0.0
2019-10-01,EST004,55145.0,22.0,1.0
2019-11-01,EST004,37508.0,26.0,0.0
2019-12-01,EST004,54612.0,24.0,0.0
2020-01-01,EST004,43550.0,22.0,0.0
2020-02-01,EST004,57015.0,25.0,1.0
2020-03-01,EST004,49581.0,24.0,1.0
2020-04-01,EST004,54063.0,25.0,1.0
2020-05-01,EST004,55136.0,22.0,1.0
2020-06-01,EST004,45076.0,24.0,2.0
2020-07-01,EST004,55601.0,25.0,1.0
2020-08-01,EST004,51287.0,26.0,3.0
2020-09-01,EST004,46973.0,26.0,3.0
2020-10-01,EST004,44566.0,22.0,1.0
2020-11-01,EST004,45726.0,24.0,1.0
2020-12-01,EST004,38686.0,23.0,1.0
2021-01-01,EST004,47685.0,24.0,0.0
2021-02-01,EST004,47850.0,26.0,2.0
2021-03-01,EST004,51320.0,25.0,1.0
2021-04-01,EST004,52951.0,23.0,0.0
2021-05-01,EST004,48721.0,22.0,1.0
2021-06-01,EST004,44633.0,23.0,0.0
2021-07-01,EST004,41968.0,22.0,1.0
2021-08-01,EST004,38937.0,23.0,1.0
2021-09-01,EST004,35906.0,22.0,2.0
2021-10-01,EST004,43959.0,22.0,1.0
2021-11-01,EST004,45552.0,23.0,2.0
2021-12-01,EST004,53987.0,23.0,0.0
2022-01-01,EST004,45067.0,24.5,2.0
2022-02-01,EST004,41782.0,26.0,0.0
2022-03-01,EST004,44894.0,23.0,2.0
2022-04-01,EST004,37817.0,24.0,1.0
2022-05-01,EST004,44137.0,25.0,1.0
2022-06-01,EST004,44927.0,22.0,1.0
2022-07-01,EST004,45831.0,22.0,3.0
2022-08-01,EST004,46186.0,25.0,0.0
2022-09-01,EST004,52587.0,26.0,2.0
2022-10-01,EST004,57024.0,25.0,2.0
2022-11-01,EST004,49503.0,23.0,1.0
2022-12-01,EST004,49713.0,25.0,1.0
2023-01-01,EST004,46634.0,22.0,2.0
2023-02-01,EST004,42235.0,25.0,2.0
2023-03-01,EST004,41664.0,24.0,1.0
2023-04-01,EST004,39196.0,23.0,0.0
2023-05-01,EST004,45941.0,25.0,1.0
2023-06-01,EST004,48086.0,22.0,0.0
2023-07-01,EST004,38581.0,23.0,2.0
2023-08-01,EST004,52097.0,22.0,3.0
2023-09-01,EST004,55133.0,26.0,2.0
2023-10-01,EST004,47712.0,24.0,1.0
2023-11-01,EST004,47694.0,26.0,0.0
2023-12-01,EST004,49198.0,24.0,1.0
2024-01-01,EST004,40867.0,25.0,1.0
2024-02-01,EST004,48181.0,23.0,2.0
2024-03-01,EST004,40176.0,25.0,3.0
2024-04-01,EST004,53022.0,24.0,1.0
2024-05-01,EST004,40415.0,24.0,1.0
2024-06-01,EST004,54479.0,24.0,1.0
2024-07-01,EST004,54876.0,22.0,0.0
2024-08-01,EST004,38473.0,23.0,1.0
2024-09-01,EST004,43028.0,25.0,1.0
2024-10-01,EST004,49468.0,25.0,1.0
2024-11-01,EST004,46494.0,26.0,2.0
2024-12-01,EST004,48567.0,24.0,1.0
2025-01-01,EST004,47860.0,24.0,1.0
2025-02-01,EST004,43130.0,24.0,2.0
2025-03-01,EST004,43487.0,25.0,0.0
2025-04-01,EST004,39927.0,26.0,1.0
2025-05-01,EST004,49980.0,22.0,2.0
2025-06-01,EST004,45519.0,23.0,1.0
2025-07-01,EST004,46982.0,22.0,2.0
2025-08-01,EST004,46584.0,25.0,0.0
2025-09-01,EST004,48535.0,24.0,1.0
2025-10-01,EST004,48678.0,23.0,0.0
2025-11-01,EST004,56921.0,25.0,1.0
2025-12-01,EST004,45656.0,25.0,1.0
2019-01-01,EST005,59043.0,25.0,0.0
2019-02-01,EST005,60077.0,23.0,0.0
2019-03-01,EST005,56506.0,23.0,0.0
2019-04-01,EST005,64596.0,26.0,1.0
2019-05-01,EST005,49219.0,26.0,0.0
2019-06-01,EST005,49725.0,22.0,1.0
2019-07-01,EST005,66183.0,23.0,3.0
2019-08-01,EST005,50141.0,23.0,0.0
2019-09-01,EST005,64581.0,23.0,1.0
2019-10-01,EST005,67877.0,26.0,3.0
2019-11-01,EST005,46252.0,25.0,1.0
2019-12-01,EST005,66897.0,24.0,1.0
2020-01-01,EST005,59282.0,23.5,1.0
2020-02-01,EST005,58056.0,23.0,1.0
2020-03-01,EST005,58505.0,26.0,2.0
2020-04-01,EST005,67745.0,22.0,1.0
2020-05-01,EST005,44742.0,23.0,2.0
2020-06-01,EST005,54556.0,22.0,1.0
2020-07-01,EST005,58091.0,23.0,3.0
2020-08-01,EST005,64582.0,26.0,2.0
2020-09-01,EST005,56812.0,25.0,1.0
2020-10-01,EST005,50555.0,24.0,2.0
2020-11-01,EST005,51851.0,22.0,2.0
2020-12-01,EST005,48261.0,26.0,0.0
2021-01-01,EST005,62832.0,25.0,1.0
2021-02-01,EST005,44869.0,26.0,0.0
2021-03-01,EST005,50157.0,22.0,1.0
2021-04-01,EST005,67944.0,24.0,0.0
2021-05-01,EST005,42886.0,26.0,1.0
2021-06-01,EST005,66359.0,23.0,3.0
2021-07-01,EST005,64644.0,25.0,3.0
2021-08-01,EST005,60653.0,26.0,3.0
2021-09-01,EST005,47809.0,25.0,1.0
2021-10-01,EST005,47598.0,23.0,0.0
2021-11-01,EST005,66144.0,24.0,1.0
2021-12-01,EST005,62363.0,24.0,1.0
2022-01-01,EST005,63340.0,23.0,1.0
2022-02-01,EST005,50305.0,25.0,2.0
2022-03-01,EST005,58327.0,26.0,0.0
2022-04-01,EST005,59438.0,23.0,0.0
2022-05-01,EST005,62087.0,22.0,2.0
2022-06-01,EST005,65982.0,25.0,0.0
2022-07-01,EST005,64372.0,24.0,3.0
2022-08-01,EST005,54970.0,23.0,0.0
2022-09-01,EST005,50515.0,24.0,0.0
2022-10-01,EST005,53275.0,25.0,0.0
2022-11-01,EST005,44942.0,24.0,0.0
2022-12-01,EST005,53873.0,23.0,0.0
2023-01-01,EST005,57071.0,25.0,0.0
2023-02-01,EST005,47393.0,22.0,2.0
2023-03-01,EST005,52746.0,23.0,2.0
2023-04-01,EST005,47518.0,26.0,1.0
2023-05-01,EST005,61916.0,23.0,1.0
2023-06-01,EST005,66659.0,25.0,1.0
2023-07-01,EST005,39825.0,23.0,0.0
2023-08-01,EST005,64048.0,22.0,1.0
2023-09-01,EST005,56166.0,22.0,5.0
2023-10-01,EST005,47679.0,26.0,3.0
2023-11-01,EST005,46574.0,24.0,3.0
2023-12-01,EST005,54451.0,25.0,0.0
2024-01-01,EST005,66876.0,25.0,1.0
2024-02-01,EST005,64240.0,24.0,2.0
2024-03-01,EST005,44054.0,22.0,1.0
2024-04-01,EST005,45260.0,22.0,2.0
2024-05-01,EST005,52668.0,23.0,1.0
2024-06-01,EST005,49356.0,26.0,2.0
2024-07-01,EST005,49591.0,26.0,1.0
2024-08-01,EST005,48279.0,26.0,2.0
2024-09-01,EST005,57364.0,23.0,1.0
2024-10-01,EST005,66449.0,26.0,1.0
2024-11-01,EST005,54578.0,24.0,3.0
2024-12-01,EST005,61363.0,23.0,1.0
2025-01-01,EST005,53359.0,24.0,2.0
2025-02-01,EST005,52761.0,23.0,3.0
2025-03-01,EST005,49593.0,26.0,1.0
2025-04-01,EST005,60473.0,24.0,0.0
2025-05-01,EST005,65427.0,24.0,3.0
2025-06-01,EST005,58579.0,24.0,2.0
2025-07-01,EST005,50533.0,23.0,1.0
2025-08-01,EST005,57680.0,25.0,2.0
2025-09-01,EST005,46224.0,26.0,0.0
2025-10-01,EST005,61178.0,24.0,0.0
2025-11-01,EST005,54581.0,25.0,0.0
2025-12-01,EST005,49713.0,26.0,2.0
2019-01-01,EST006,41367.0,26.0,0.0
2019-02-01,EST006,42433.0,24.0,2.0
2019-03-01,EST006,33542.0,24.0,1.0
2019-04-01,EST006,43464.0,23.0,0.0
2019-05-01,EST006,36654.0,24.0,0.0
2019-06-01,EST006,45576.0,25.0,2.0
2019-07-01,EST006,48314.0,24.0,2.0
2019-08-01,EST006,44491.0,26.0,1.0
2019-09-01,EST006,39343.0,24.0,0.0
2019-10-01,EST006,39177.0,26.0,4.0
2019-11-01,EST006,34287.0,26.0,0.0
2019-12-01,EST006,44715.0,24.0,2.0
2020-01-01,EST006,35817.0,22.0,3.0
2020-02-01,EST006,38292.0,25.0,2.0
2020-03-01,EST006,36608.0,26.0,1.0
2020-04-01,EST006,35312.0,26.0,1.0
2020-05-01,EST006,44408.0,22.0,1.0
2020-06-01,EST006,32752.0,23.0,1.0
2020-07-01,EST006,44147.0,22.0,0.0
2020-08-01,EST006,36247.0,22.0,2.0
2020-09-01,EST006,32751.0,26.0,0.0
2020-10-01,EST006,33640.5,25.0,3.0
2020-11-01,EST006,34530.0,22.0,1.0
2020-12-01,EST006,33996.0,23.0,0.0
2021-01-01,EST006,43596.0,24.0,3.0
2021-02-01,EST006,34337.0,22.0,1.0
2021-03-01,EST006,46993.0,22.0,1.0
2021-04-01,EST006,37288.0,23.0,0.0
2021-05-01,EST006,37492.0,25.0,1.0
2021-06-01,EST006,42694.0,22.0,0.0
2021-07-01,EST006,37806.0,22.0,1.0
2021-08-01,EST006,31410.0,25.0,1.0
2021-09-01,EST006,38552.0,23.0,2.0
2021-10-01,EST006,35684.0,22.0,3.0
2021-11-01,EST006,48754.0,25.0,1.0
2021-12-01,EST006,36896.0,22.0,1.0
2022-01-01,EST006,45471.0,24.0,0.0
2022-02-01,EST006,45920.0,26.0,0.0
2022-03-01,EST006,43385.0,24.0,2.0
2022-04-01,EST006,46957.0,22.0,0.0
2022-05-01,EST006,42560.0,23.0,1.0
2022-06-01,EST006,50590.0,26.0,0.0
2022-07-01,EST006,35090.0,24.0,0.0
2022-08-01,EST006,44880.0,25.0,2.0
2022-09-01,EST006,41704.0,23.0,2.0
2022-10-01,EST006,35383.0,24.0,2.0
2022-11-01,EST006,42574.0,25.0,0.0
2022-12-01,EST006,46217.0,22.0,2.0
2023-01-01,EST006,32791.0,25.0,2.0
2023-02-01,EST006,33041.0,24.0,5.0
2023-03-01,EST006,44377.0,24.0,1.0
2023-04-01,EST006,47455.0,22.0,2.0
2023-05-01,EST006,51676.0,25.0,1.0
2023-06-01,EST006,45141.0,25.0,1.0
2023-07-01,EST006,50695.0,22.0,3.0
2023-08-01,EST006,43509.0,25.0,2.0
2023-09-01,EST006,34477.0,22.0,0.0
2023-10-01,EST006,32932.0,23.0,0.0
2023-11-01,EST006,49187.0,24.0,3.0
2023-12-01,EST006,42770.0,23.0,1.0
2024-01-01,EST006,33181.0,26.0,1.0
2024-02-01,EST006,38125.0,26.0,0.0
2024-03-01,EST006,53108.0,26.0,1.0
2024-04-01,EST006,44340.0,22.0,1.0
2024-05-01,EST006,44323.0,25.0,1.0
2024-06-01,EST006,39986.0,23.0,0.0
2024-07-01,EST006,36761.0,23.0,1.0
2024-08-01,EST006,35901.0,23.0,2.0
2024-09-01,EST006,41735.0,23.0,0.0
2024-10-01,EST006,31693.0,26.0,3.0
2024-11-01,EST006,45880.0,23.0,1.0
2024-12-01,EST006,37456.0,25.0,2.0
2025-01-01,EST006,44921.0,26.0,0.0
2025-02-01,EST006,44789.0,23.0,0.0
2025-03-01,EST006,35174.0,22.0,0.0
2025-04-01,EST006,42406.0,24.0,2.0
2025-05-01,EST006,39434.0,24.0,2.0
2025-06-01,EST006,49203.0,24.0,1.0
2025-07-01,EST006,34331.0,26.0,2.0
2025-08-01,EST006,44400.0,23.0,0.0
2025-09-01,EST006,40538.5,26.0,0.0
2025-10-01,EST006,36677.0,25.0,0.0
2025-11-01,EST006,33782.0,22.0,2.0
2025-12-01,EST006,42986.0,22.0,2.0
2019-01-01,EST007,54523.0,24.0,1.0
2019-02-01,EST007,43956.0,24.0,1.0
2019-03-01,EST007,48402.0,24.0,0.0
2019-04-01,EST007,46118.0,23.0,1.0
2019-05-01,EST007,48197.0,25.0,3.0
2019-06-01,EST007,42754.0,25.0,3.0
2019-07-01,EST007,55446.0,25.0,2.0
2019-08-01,EST007,42341.0,25.0,0.0
2019-09-01,EST007,42648.0,24.0,0.0
2019-10-01,EST007,36977.0,22.0,0.0
2019-11-01,EST007,40758.0,24.0,1.0
2019-12-01,EST007,50205.0,25.0,0.0
2020-01-01,EST007,41272.0,24.0,1.0
2020-02-01,EST007,54529.0,25.0,1.0
2020-03-01,EST007,33924.0,26.0,3.0
2020-04-01,EST007,43420.0,22.0,1.0
2020-05-01,EST007,43874.0,26.0,0.0
2020-06-01,EST007,36237.0,23.0,0.0
2020-07-01,EST007,38068.0,24.0,1.0
2020-08-01,EST007,43861.0,23.0,1.0
2020-09-01,EST007,47551.0,24.0,2.0
2020-10-01,EST007,44777.0,26.0,1.0
2020-11-01,EST007,42257.0,25.0,2.0
2020-12-01,EST007,43615.0,25.0,0.0
2021-01-01,EST007,36640.0,24.0,2.0
2021-02-01,EST007,47385.0,25.0,0.0
2021-03-01,EST007,48060.0,26.0,2.0
2021-04-01,EST007,46175.0,25.0,1.0
2021-05-01,EST007,49013.0,26.0,1.0
2021-06-01,EST007,46480.0,23.0,2.0
2021-07-01,EST007,51147.0,26.0,3.0
2021-08-01,EST007,53129.0,22.0,2.0
2021-09-01,EST007,47735.0,22.0,0.0
2021-10-01,EST007,49989.0,22.0,1.0
2021-11-01,EST007,41495.0,24.0,2.0
2021-12-01,EST007,38327.0,24.0,2.0
2022-01-01,EST007,53402.0,24.0,0.0
2022-02-01,EST007,63135.0,26.0,1.0
2022-03-01,EST007,35706.0,24.0,1.0
2022-04-01,EST007,46266.0,23.0,1.0
2022-05-01,EST007,37385.0,22.0,0.0
2022-06-01,EST007,43734.0,26.0,2.0
2022-07-01,EST007,52016.0,22.0,1.0
2022-08-01,EST007,46334.0,24.0,0.0
2022-09-01,EST007,42886.0,26.0,2.0
2022-10-01,EST007,45323.0,25.0,1.0
2022-11-01,EST007,34771.0,23.0,1.0
2022-12-01,EST007,44859.0,24.0,1.0
2023-01-01,EST007,48718.0,24.0,3.0
2023-02-01,EST007,52755.0,23.0,1.0
2023-03-01,EST007,52320.0,23.0,1.0
2023-04-01,EST007,52677.0,25.0,2.0
2023-05-01,EST007,53034.0,24.0,1.0
2023-06-01,EST007,53262.0,24.0,0.0
2023-07-01,EST007,50361.0,22.0,0.0
2023-08-01,EST007,47962.0,26.0,1.0
2023-09-01,EST007,47629.5,26.0,0.0
2023-10-01,EST007,47297.0,22.0,2.0
2023-11-01,EST007,38494.0,26.0,1.0
2023-12-01,EST007,43291.0,23.0,2.0
2024-01-01,EST007,42443.0,26.0,0.0
2024-02-01,EST007,49727.0,26.0,2.0
2024-03-01,EST007,49795.0,22.0,1.0
2024-04-01,EST007,48240.0,25.0,1.0
2024-05-01,EST007,38311.0,26.0,3.0
2024-06-01,EST007,55428.0,26.0,4.0
2024-07-01,EST007,55577.0,25.0,3.0
2024-08-01,EST007,53022.0,22.0,2.0
2024-09-01,EST007,55910.0,25.0,1.0
2024-10-01,EST007,48350.0,22.0,0.0
2024-11-01,EST007,60095.0,23.0,2.0
2024-12-01,EST007,40944.0,22.0,0.0
2025-01-01,EST007,46408.0,23.0,1.0
2025-02-01,EST007,40884.0,23.0,0.0
2025-03-01,EST007,39446.0,22.0,0.0
2025-04-01,EST007,42169.0,24.0,3.0
2025-05-01,EST007,51461.0,22.0,0.0
