date,estate_id,rainfall_mm,rainy_days
2023-09-01,EST001,177.0,12.0
2023-10-01,EST001,212.3,14.0
2023-11-01,EST001,250.3,18.0
2023-12-01,EST001,284.0,18.0
2024-01-01,EST001,241.0,17.0
2024-02-01,EST001,237.4,15.0
2024-03-01,EST001,203.3,14.0
2024-04-01,EST001,179.1,14.0
2024-05-01,EST001,218.3,15.0
2024-06-01,EST001,220.9,15.0
2024-07-01,EST001,174.2,10.0
2024-08-01,EST001,205.5,15.0
2024-09-01,EST001,207.0,15.0
2024-10-01,EST001,203.9,17.0
2024-11-01,EST001,251.0,16.0
2024-12-01,EST001,298.1,20.0
2025-01-01,EST001,252.1,17.0
2025-02-01,EST001,281.1,21.0
2025-03-01,EST001,165.5,11.0
2025-04-01,EST001,229.5,16.0
2025-05-01,EST001,200.2,14.0
2025-06-01,EST001,179.5,12.0
2025-07-01,EST001,178.3,11.0
2025-08-01,EST001,130.7,9.0
2025-09-01,EST001,192.5,14.0
2025-10-01,EST001,228.9,14.0
2025-11-01,EST001,278.9,19.0
2025-12-01,EST001,246.6,15.0
2019-01-01,EST002,232.8,17.0
2019-02-01,EST002,229.5,13.0
2019-03-01,EST002,253.9,16.0
2019-04-01,EST002,217.2,15.0
2019-05-01,EST002,184.8,15.0
2019-06-01,EST002,199.8,13.0
2019-07-01,EST002,202.2,11.0
2019-08-01,EST002,204.6,16.0
2019-09-01,EST002,180.4,10.0
2019-10-01,EST002,211.8,11.0
2019-11-01,EST002,232.2,16.0
2019-12-01,EST002,223.0,14.0
2020-01-01,EST002,260.4,16.0
2020-02-01,EST002,248.5,18.0
2020-03-01,EST002,231.1,16.0
2020-04-01,EST002,203.1,13.0
2020-05-01,EST002,162.6,9.0
2020-06-01,EST002,176.5,13.0
2020-07-01,EST002,167.4,12.0
2020-08-01,EST002,160.3,11.0
2020-09-01,EST002,194.0,16.0
2020-10-01,EST002,230.1,14.0
2020-11-01,EST002,289.2,17.0
2020-12-01,EST002,264.0,17.0
2021-01-01,EST002,259.4,17.0
2021-02-01,EST002,240.1,16.0
2021-03-01,EST002,183.0,12.0
2021-04-01,EST002,208.3,14.0
2021-05-01,EST002,199.5,11.0
2021-06-01,EST002,248.6,19.0
2021-07-01,EST002,171.2,11.0
2021-08-01,EST002,187.9,14.0
2021-09-01,EST002,197.1,14.0
2021-10-01,EST002,190.8,13.0
2021-11-01,EST002,270.6,19.0
2021-12-01,EST002,278.4,19.0
2022-01-01,EST002,272.8,19.0
2022-02-01,EST002,219.3,17.0
2022-03-01,EST002,266.1,18.0
2022-04-01,EST002,174.0,13.0
2022-05-01,EST002,212.7,14.0
2022-06-01,EST002,241.8,18.0
2022-07-01,EST002,151.2,9.0
2022-08-01,EST002,166.2,14.0
2022-09-01,EST002,200.5,13.0
2022-10-01,EST002,207.4,12.0
2022-11-01,EST002,203.2,14.0
2022-12-01,EST002,261.3,16.0
2023-01-01,EST002,226.4,16.0
2023-02-01,EST002,253.8,16.0
2023-03-01,EST002,208.0,13.0
2023-04-01,EST002,247.7,14.0
2023-05-01,EST002,178.4,11.0
2023-06-01,EST002,178.9,8.0
2023-07-01,EST002,196.3,11.0
2023-08-01,EST002,149.6,11.0
2023-09-01,EST002,203.7,15.0
2023-10-01,EST002,252.7,17.0
2023-11-01,EST002,201.8,12.0
2023-12-01,EST002,264.2,18.0
2024-01-01,EST002,259.5,17.0
2024-02-01,EST002,261.5,16.0
2024-03-01,EST002,200.1,16.0
2024-04-01,EST002,176.0,13.0
2024-05-01,EST002,211.0,14.0
2024-06-01,EST002,194.4,13.0
2024-07-01,EST002,182.3,12.0
2024-08-01,EST002,189.1,10.0
2024-09-01,EST002,181.0,12.0
2024-10-01,EST002,225.8,14.0
2024-11-01,EST002,249.3,15.0
2024-12-01,EST002,241.7,16.0
2025-01-01,EST002,299.6,23.0
2025-02-01,EST002,253.8,18.0
2025-03-01,EST002,201.2,13.0
2025-04-01,EST002,225.4,16.0
2025-05-01,EST002,173.6,14.0
2025-06-01,EST002,206.7,15.0
2025-07-01,EST002,205.0,14.0
2025-08-01,EST002,159.9,10.0
2025-09-01,EST002,222.1,16.0
2025-10-01,EST002,230.3,16.0
2025-11-01,EST002,262.6,19.0
2025-12-01,EST002,307.0,21.0
2019-01-01,EST003,246.9,18.0
2019-02-01,EST003,223.2,14.0
2019-03-01,EST003,208.8,16.0
2019-04-01,EST003,188.6,13.0
2019-05-01,EST003,196.1,16.0
2019-06-01,EST003,195.5,12.0
2019-07-01,EST003,182.9,15.0
2019-08-01,EST003,201.1,14.0
2019-09-01,EST003,198.3,12.0
2019-10-01,EST003,256.3,16.0
2019-11-01,EST003,235.4,15.0
2019-12-01,EST003,327.6,22.0
2020-01-01,EST003,268.6,19.0
2020-02-01,EST003,220.6,14.0
2020-03-01,EST003,204.2,14.0
2020-04-01,EST003,221.1,18.0
2020-05-01,EST003,192.4,15.0
2020-06-01,EST003,204.9,14.0
2020-07-01,EST003,187.8,13.0
2020-08-01,EST003,178.6,12.0
2020-09-01,EST003,176.8,13.0
2020-10-01,EST003,182.1,11.0
2020-11-01,EST003,230.8,15.0
2020-12-01,EST003,244.6,16.0
2021-01-01,EST003,258.4,18.0
2021-02-01,EST003,210.9,15.0
2021-03-01,EST003,235.3,15.0
2021-04-01,EST003,218.6,17.0
2021-05-01,EST003,175.9,10.0
2021-06-01,EST003,190.8,11.0
2021-07-01,EST003,177.5,12.0
2021-08-01,EST003,151.8,12.0
2021-09-01,EST003,206.9,16.0
2021-10-01,EST003,234.0,15.0
2021-11-01,EST003,269.1,20.0
2021-12-01,EST003,285.9,19.0
2022-01-01,EST003,218.6,14.0
2022-02-01,EST003,218.6,16.0
2022-03-01,EST003,243.9,17.0
2022-04-01,EST003,221.8,12.0
2022-05-01,EST003,210.9,16.0
2022-06-01,EST003,283.3,21.0
2022-07-01,EST003,190.3,12.0
2022-08-01,EST003,208.8,15.0
2022-09-01,EST003,221.9,16.0
2022-10-01,EST003,236.3,16.0
2022-11-01,EST003,234.1,15.0
2022-12-01,EST003,278.6,18.0
2023-01-01,EST003,233.7,16.0
2023-02-01,EST003,236.1,17.0
2023-03-01,EST003,218.9,15.0
2023-04-01,EST003,211.0,14.0
2023-05-01,EST003,255.9,18.0
2023-06-01,EST003,140.3,5.0
2023-07-01,EST003,193.2,15.0
2023-08-01,EST003,140.1,7.0
2023-09-01,EST003,186.2,12.0
2023-10-01,EST003,247.2,15.0
2023-11-01,EST003,243.6,14.0
2023-12-01,EST003,232.7,17.0
2024-01-01,EST003,235.1,15.0
2024-02-01,EST003,259.0,18.0
2024-03-01,EST003,212.7,14.0
2024-04-01,EST003,214.4,15.0
2024-05-01,EST003,199.1,13.0
2024-06-01,EST003,170.7,9.0
2024-07-01,EST003,229.6,17.0
2024-08-01,EST003,196.2,12.0
2024-09-01,EST003,147.4,7.0
2024-10-01,EST003,224.7,14.0
2024-11-01,EST003,225.5,17.0
2024-12-01,EST003,280.9,20.0
2025-01-01,EST003,233.2,15.0
2025-02-01,EST003,239.1,15.0
2025-03-01,EST003,243.6,16.0
2025-04-01,EST003,230.6,18.0
2025-05-01,EST003,168.0,12.0
2025-06-01,EST003,178.6,13.0
2025-07-01,EST003,164.1,12.0
2025-08-01,EST003,164.1,11.0
2025-09-01,EST003,242.1,16.0
2025-10-01,EST003,230.1,15.0
2025-11-01,EST003,210.5,14.0
2025-12-01,EST003,282.5,19.0
2019-01-01,EST004,306.1,21.0
2019-02-01,EST004,267.8,18.0
2019-03-01,EST004,193.0,14.0
2019-04-01,EST004,196.9,13.0
2019-05-01,EST004,229.7,15.0
2019-06-01,EST004,169.3,8.0
2019-07-01,EST004,187.1,14.0
2019-08-01,EST004,199.8,14.0
2019-09-01,EST004,174.8,13.0
2019-10-01,EST004,218.5,10.0
2019-11-01,EST004,161.0,14.0
2019-12-01,EST004,234.0,15.0
2020-01-01,EST004,246.7,18.0
2020-02-01,EST004,210.8,12.0
2020-03-01,EST004,271.8,19.0
2020-04-01,EST004,173.2,10.0
2020-05-01,EST004,187.0,12.0
2020-06-01,EST004,199.5,16.0
2020-07-01,EST004,212.0,14.0
2020-08-01,EST004,144.5,10.0
2020-09-01,EST004,227.1,16.0
2020-10-01,EST004,220.3,15.0
2020-11-01,EST004,217.5,15.0
2020-12-01,EST004,271.2,19.0
2021-01-01,EST004,258.0,21.0
2021-02-01,EST004,227.0,15.0
2021-03-01,EST004,232.7,16.0
2021-04-01,EST004,199.4,15.0
2021-05-01,EST004,200.8,15.0
2021-06-01,EST004,203.6,15.0
2021-07-01,EST004,215.7,15.0
2021-08-01,EST004,149.5,8.0
2021-09-01,EST004,251.3,19.0
2021-10-01,EST004,171.2,10.0
2021-11-01,EST004,238.2,16.0
2021-12-01,EST004,274.3,17.0
2022-01-01,EST004,260.0,17.0
2022-02-01,EST004,226.4,16.0
2022-03-01,EST004,225.8,16.0
2022-04-01,EST004,196.7,14.0
2022-05-01,EST004,183.3,15.0
2022-06-01,EST004,208.2,15.0
2022-07-01,EST004,184.9,12.0
2022-08-01,EST004,163.1,12.0
2022-09-01,EST004,220.5,16.0
2022-10-01,EST004,227.7,13.0
2022-11-01,EST004,262.3,18.0
2022-12-01,EST004,275.3,19.0
2023-01-01,EST004,232.3,15.0
2023-02-01,EST004,228.0,17.0
2023-03-01,EST004,249.7,16.0
2023-04-01,EST004,224.3,15.0
2023-05-01,EST004,197.5,13.0
2023-06-01,EST004,189.9,13.0
2023-07-01,EST004,207.9,12.0
2023-08-01,EST004,165.6,9.0
2023-09-01,EST004,211.7,17.0
2023-10-01,EST004,214.9,13.0
2023-11-01,EST004,236.6,14.0
2023-12-01,EST004,287.1,16.0
2024-01-01,EST004,273.6,17.0
2024-02-01,EST004,262.3,16.0
2024-03-01,EST004,263.6,20.0
2024-04-01,EST004,209.5,15.0
2024-05-01,EST004,215.0,13.0
2024-06-01,EST004,179.2,15.0
2024-07-01,EST004,184.1,14.0
2024-08-01,EST004,177.1,11.0
2024-09-01,EST004,200.4,10.0
2024-10-01,EST004,234.9,19.0
2024-11-01,EST004,221.5,13.0
2024-12-01,EST004,311.9,18.0
2025-01-01,EST004,227.8,17.0
2025-02-01,EST004,211.6,18.0
2025-03-01,EST004,260.0,19.0
2025-04-01,EST004,228.8,16.0
2025-05-01,EST004,213.6,15.0
2025-06-01,EST004,202.7,15.0
2025-07-01,EST004,175.7,13.0
2025-08-01,EST004,158.0,11.0
2025-09-01,EST004,199.9,13.0
2025-10-01,EST004,203.1,13.0
2025-11-01,EST004,266.4,17.0
2025-12-01,EST004,255.9,17.0
2019-01-01,EST005,232.4,13.0
2019-02-01,EST005,234.0,15.0
2019-03-01,EST005,241.3,15.0
2019-04-01,EST005,194.9,11.0
2019-05-01,EST005,177.4,12.0
2019-06-01,EST005,179.75,15.0
2019-07-01,EST005,182.1,14.0
2019-08-01,EST005,167.7,9.0
2019-09-01,EST005,186.2,11.0
2019-10-01,EST005,225.8,16.0
2019-11-01,EST005,205.8,12.0
2019-12-01,EST005,220.4,15.0
2020-01-01,EST005,235.0,16.0
2020-02-01,EST005,236.7,14.0
2020-03-01,EST005,238.8,16.0
2020-04-01,EST005,245.9,14.0
2020-05-01,EST005,219.4,14.0
2020-06-01,EST005,183.0,13.0
2020-07-01,EST005,175.5,9.0
2020-08-01,EST005,155.3,11.0
2020-09-01,EST005,197.5,13.0
2020-10-01,EST005,212.8,15.0
2020-11-01,EST005,250.1,17.0
2020-12-01,EST005,238.9,18.0
2021-01-01,EST005,266.0,18.0
2021-02-01,EST005,280.3,18.0
2021-03-01,EST005,228.3,15.0
2021-04-01,EST005,219.0,15.0
2021-05-01,EST005,215.3,14.0
2021-06-01,EST005,177.0,12.0
2021-07-01,EST005,181.6,11.0
2021-08-01,EST005,180.7,11.0
2021-09-01,EST005,200.4,11.0
2021-10-01,EST005,200.7,16.0
2021-11-01,EST005,242.6,14.0
2021-12-01,EST005,272.0,17.0
2022-01-01,EST005,289.3,18.0
2022-02-01,EST005,266.0,19.0
2022-03-01,EST005,284.8,19.0
2022-04-01,EST005,189.8,15.0
2022-05-01,EST005,219.8,14.0
2022-06-01,EST005,191.6,13.0
2022-07-01,EST005,230.7,14.0
2022-08-01,EST005,160.2,14.0
2022-09-01,EST005,177.0,10.0
2022-10-01,EST005,205.0,14.0
2022-11-01,EST005,188.9,14.0
2022-12-01,EST005,246.5,17.0
2023-01-01,EST005,234.0,15.0
2023-02-01,EST005,236.75,16.0
2023-03-01,EST005,239.5,16.0
2023-04-01,EST005,255.9,17.0
2023-05-01,EST005,221.8,16.0
2023-06-01,EST005,172.6,15.0
2023-07-01,EST005,182.64999999999998,9.0
2023-08-01,EST005,192.7,11.0
2023-09-01,EST005,165.0,11.0
2023-10-01,EST005,265.8,22.0
2023-11-01,EST005,271.5,17.0
2023-12-01,EST005,247.9,19.0
2024-01-01,EST005,210.2,17.0
2024-02-01,EST005,275.8,18.0
2024-03-01,EST005,228.1,16.0
2024-04-01,EST005,239.9,18.0
2024-05-01,EST005,158.1,10.0
2024-06-01,EST005,172.0,11.0
2024-07-01,EST005,176.1,11.0
2024-08-01,EST005,181.6,11.0
2024-09-01,EST005,186.7,11.0
2024-10-01,EST005,235.6,14.0
2024-11-01,EST005,215.3,14.0
2024-12-01,EST005,256.0,16.0
2025-01-01,EST005,256.0,17.0
2025-02-01,EST005,254.9,15.0
2025-03-01,EST005,248.8,17.0
2025-04-01,EST005,180.9,13.0
2025-05-01,EST005,159.6,8.0
2025-06-01,EST005,218.9,15.0
2025-07-01,EST005,184.3,14.0
2025-08-01,EST005,161.7,9.0
2025-09-01,EST005,236.8,18.0
2025-10-01,EST005,222.9,15.0
2025-11-01,EST005,271.5,17.0
2025-12-01,EST005,261.3,17.0
2019-01-01,EST006,339.0,23.0
2019-02-01,EST006,318.9,21.0
2019-03-01,EST006,256.3,18.0
2019-04-01,EST006,261.8,16.0
2019-05-01,EST006,241.1,16.0
2019-06-01,EST006,246.7,14.0
2019-07-01,EST006,175.9,12.0
2019-08-01,EST006,222.2,13.0
2019-09-01,EST006,251.5,16.0
2019-10-01,EST006,206.0,16.0
2019-11-01,EST006,245.4,18.0
2019-12-01,EST006,244.0,17.0
2020-01-01,EST006,280.8,17.0
2020-02-01,EST006,292.9,19.0
2020-03-01,EST006,300.1,22.0
2020-04-01,EST006,239.4,16.0
2020-05-01,EST006,265.7,21.0
2020-06-01,EST006,178.0,12.0
2020-07-01,EST006,157.4,11.0
2020-08-01,EST006,203.6,13.0
2020-09-01,EST006,234.6,16.0
2020-10-01,EST006,249.2,16.0
2020-11-01,EST006,223.3,16.0
2020-12-01,EST006,292.8,21.0
2021-01-01,EST006,254.9,16.0
2021-02-01,EST006,291.7,17.0
2021-03-01,EST006,271.7,15.0
2021-04-01,EST006,214.0,15.0
2021-05-01,EST006,212.2,12.0
2021-06-01,EST006,186.0,9.0
2021-07-01,EST006,198.4,14.0
2021-08-01,EST006,228.9,19.0
2021-09-01,EST006,200.4,13.0
2021-10-01,EST006,262.6,19.0
2021-11-01,EST006,261.7,18.0
2021-12-01,EST006,275.2,18.0
2022-01-01,EST006,284.8,20.0
2022-02-01,EST006,249.1,16.0
2022-03-01,EST006,248.7,17.0
2022-04-01,EST006,207.6,14.0
2022-05-01,EST006,274.1,17.0
2022-06-01,EST006,213.4,16.0
2022-07-01,EST006,182.5,12.0
2022-08-01,EST006,210.3,13.0
2022-09-01,EST006,222.2,16.0
2022-10-01,EST006,244.5,15.0
2022-11-01,EST006,290.4,19.0
2022-12-01,EST006,313.9,21.0
2023-01-01,EST006,274.2,20.0
2023-02-01,EST006,260.6,18.0
2023-03-01,EST006,255.6,17.0
2023-04-01,EST006,180.0,13.0
2023-05-01,EST006,187.1,15.0
2023-06-01,EST006,246.7,17.0
2023-07-01,EST006,222.75,16.0
2023-08-01,EST006,198.8,11.0
2023-09-01,EST006,239.4,14.0
2023-10-01,EST006,257.8,17.0
2023-11-01,EST006,352.0,23.0
2023-12-01,EST006,323.0,21.0
2024-01-01,EST006,284.3,19.0
2024-02-01,EST006,251.1,18.0
2024-03-01,EST006,222.3,15.0
2024-04-01,EST006,242.6,17.0
2024-05-01,EST006,206.1,14.0
2024-06-01,EST006,176.9,9.0
2024-07-01,EST006,183.8,11.0
2024-08-01,EST006,178.0,12.0
2024-09-01,EST006,267.2,16.0
2024-10-01,EST006,272.0,19.0
2024-11-01,EST006,274.8,21.0
2024-12-01,EST006,332.0,24.0
2025-01-01,EST006,289.4,19.0
2025-02-01,EST006,253.5,19.0
2025-03-01,EST006,300.6,20.0
2025-04-01,EST006,251.0,16.0
2025-05-01,EST006,199.1,12.0
2025-06-01,EST006,207.7,13.0
2025-07-01,EST006,178.1,11.0
2025-08-01,EST006,170.4,12.0
2025-09-01,EST006,248.2,17.0
2025-10-01,EST006,297.7,20.0
2025-11-01,EST006,240.0,17.0
2025-12-01,EST006,309.1,22.0
2019-01-01,EST007,271.2,20.0
2019-02-01,EST007,262.8,15.0
2019-03-01,EST007,239.35000000000002,13.0
2019-04-01,EST007,215.9,16.0
2019-05-01,EST007,226.2,13.0
2019-06-01,EST007,191.7,12.0
2019-07-01,EST007,206.8,12.0
2019-08-01,EST007,203.7,11.0
2019-09-01,EST007,219.0,15.0
2019-10-01,EST007,227.3,16.0
2019-11-01,EST007,260.6,17.0
2019-12-01,EST007,313.9,17.0
2020-01-01,EST007,300.0,19.0
2020-02-01,EST007,250.6,17.0
2020-03-01,EST007,265.0,15.0
2020-04-01,EST007,256.3,17.0
2020-05-01,EST007,183.3,12.0
2020-06-01,EST007,226.1,16.0
2020-07-01,EST007,222.7,12.0
2020-08-01,EST007,219.3,13.0
2020-09-01,EST007,205.9,16.0
2020-10-01,EST007,204.9,13.0
2020-11-01,EST007,234.3,16.0
2020-12-01,EST007,296.2,18.0
2021-01-01,EST007,294.0,19.0
2021-02-01,EST007,252.4,15.0
2021-03-01,EST007,278.5,18.0
2021-04-01,EST007,196.0,16.0
2021-05-01,EST007,223.3,13.0
2021-06-01,EST007,182.2,10.0
2021-07-01,EST007,183.7,14.0
2021-08-01,EST007,206.2,13.0
2021-09-01,EST007,223.3,13.0
2021-10-01,EST007,240.4,18.0
2021-11-01,EST007,300.2,19.0
2021-12-01,EST007,280.6,21.0
2022-01-01,EST007,308.4,22.0
2022-02-01,EST007,246.8,16.0
2022-03-01,EST007,275.7,22.0
2022-04-01,EST007,273.5,17.0
2022-05-01,EST007,163.2,12.0
2022-06-01,EST007,192.6,13.0
2022-07-01,EST007,214.4,16.0
2022-08-01,EST007,199.9,16.0
2022-09-01,EST007,234.3,16.0
2022-10-01,EST007,234.9,15.0
2022-11-01,EST007,277.2,19.0
2022-12-01,EST007,291.1,18.0
2023-01-01,EST007,316.7,24.0
2023-02-01,EST007,281.4,19.0
2023-03-01,EST007,270.9,18.0
2023-04-01,EST007,227.2,15.0
2023-05-01,EST007,212.8,12.0
2023-06-01,EST007,201.7,12.0
2023-07-01,EST007,209.9,16.0
2023-08-01,EST007,194.5,12.0
2023-09-01,EST007,232.2,14.0
2023-10-01,EST007,301.9,21.0
2023-11-01,EST007,296.8,22.0
2023-12-01,EST007,286.8,20.0
2024-01-01,EST007,317.5,23.0
2024-02-01,EST007,264.8,17.0
2024-03-01,EST007,211.5,12.0
2024-04-01,EST007,212.3,16.0
2024-05-01,EST007,178.2,11.0
2024-06-01,EST007,203.7,13.0
2024-07-01,EST007,200.5,15.0
2024-08-01,EST007,246.9,17.0
2024-09-01,EST007,233.2,16.0
2024-10-01,EST007,244.5,20.0
2024-11-01,EST007,295.7,19.0
2024-12-01,EST007,239.7,17.0
2025-01-01,EST007,293.4,20.0
2025-02-01,EST007,294.3,20.0
2025-03-01,EST007,225.5,17.0
2025-04-01,EST007,266.1,19.0
2025-05-01,EST007,233.5,16.0
2025-06-01,EST007,202.1,15.0
2025-07-01,EST007,215.8,14.0
2025-08-01,EST007,261.8,16.0
2025-09-01,EST007,229.5,14.0
2025-10-01,EST007,256.2,14.0
2025-11-01,EST007,263.5,21.0
2025-12-01,EST007,273.8,17.0
2019-01-01,EST008,308.3,20.0
2019-02-01,EST008,253.6,16.0
2019-03-01,EST008,264.3,18.0
2019-04-01,EST008,225.6,16.0
2019-05-01,EST008,237.0,17.0
2019-06-01,EST008,220.8,14.0
2019-07-01,EST008,225.9,15.0
2019-08-01,EST008,192.2,13.0
2019-09-01,EST008,218.3,14.0
2019-10-01,EST008,225.5,17.0
2019-11-01,EST008,263.9,18.0
2019-12-01,EST008,304.4,21.0
2020-01-01,EST008,306.4,21.0
2020-02-01,EST008,251.9,19.0
2020-03-01,EST008,284.2,19.0
2020-04-01,EST008,271.4,16.0
2020-05-01,EST008,235.3,16.0
2020-06-01,EST008,259.4,16.0
2020-07-01,EST008,180.7,11.0
2020-08-01,EST008,173.9,12.0
2020-09-01,EST008,180.5,14.0
2020-10-01,EST008,287.4,19.0
2020-11-01,EST008,291.4,20.0
2020-12-01,EST008,293.6,22.0
2021-01-01,EST008,294.5,20.0
2021-02-01,EST008,246.9,20.0
2021-03-01,EST008,323.6,22.0
2021-04-01,EST008,240.7,13.0
2021-05-01,EST008,227.7,16.0
2021-06-01,EST008,230.6,16.0
2021-07-01,EST008,212.0,16.0
2021-08-01,EST008,210.6,15.0
2021-09-01,EST008,205.2,13.0
2021-10-01,EST008,261.8,16.0
2021-11-01,EST008,322.1,21.0
2021-12-01,EST008,328.6,21.0
2022-01-01,EST008,327.3,21.0
2022-02-01,EST008,262.2,18.0
2022-03-01,EST008,237.8,18.0
2022-04-01,EST008,234.4,16.0
2022-05-01,EST008,226.4,13.0
2022-06-01,EST008,239.9,17.0
2022-07-01,EST008,157.7,12.0
2022-08-01,EST008,243.2,15.0
2022-09-01,EST008,221.0,15.0
2022-10-01,EST008,239.3,16.0
2022-11-01,EST008,246.45,15.0
2022-12-01,EST008,253.6,18.0
2023-01-01,EST008,308.1,20.0
2023-02-01,EST008,276.8,19.0
2023-03-01,EST008,230.3,14.0
2023-04-01,EST008,205.1,13.0
2023-05-01,EST008,216.6,16.0
2023-06-01,EST008,254.2,16.0
2023-07-01,EST008,193.5,15.0
2023-08-01,EST008,167.4,11.0
2023-09-01,EST008,218.9,15.0
2023-10-01,EST008,243.2,18.0
2023-11-01,EST008,207.6,12.0
2023-12-01,EST008,293.6,17.0
2024-01-01,EST008,281.7,16.0
2024-02-01,EST008,292.4,21.0
2024-03-01,EST008,308.7,20.0
2024-04-01,EST008,265.7,22.0
2024-05-01,EST008,218.3,14.0
2024-06-01,EST008,184.8,13.0
2024-07-01,EST008,264.3,20.0
2024-08-01,EST008,244.8,17.0
2024-09-01,EST008,225.3,18.0
2024-10-01,EST008,249.4,18.0
2024-11-01,EST008,280.0,20.0
2024-12-01,EST008,291.4,20.0
2025-01-01,EST008,273.2,19.0
2025-02-01,EST008,261.3,17.0
2025-03-01,EST008,261.7,16.0
2025-04-01,EST008,223.9,15.0
2025-05-01,EST008,207.2,14.0
2025-06-01,EST008,215.2,14.0
2025-07-01,EST008,193.6,14.0
2025-08-01,EST008,242.6,18.0
2025-09-01,EST008,158.7,11.0
2025-10-01,EST008,277.3,21.0
2025-11-01,EST008,306.2,19.0
2025-12-01,EST008,243.2,16.0
2019-01-01,EST009,209.9,13.0
2019-02-01,EST009,199.7,11.0
2019-03-01,EST009,164.3,11.0
2019-04-01,EST009,161.1,11.0
2019-05-01,EST009,143.2,12.0
2019-06-01,EST009,205.3,15.0
2019-07-01,EST009,175.4,10.0
2019-08-01,EST009,182.2,15.0
2019-09-01,EST009,189.0,14.0
2019-10-01,EST009,161.8,12.0
2019-11-01,EST009,195.9,13.0
2019-12-01,EST009,236.4,14.0
2020-01-01,EST009,187.9,12.0
2020-02-01,EST009,226.8,17.0
2020-03-01,EST009,193.5,16.0
2020-04-01,EST009,171.1,14.0
2020-05-01,EST009,188.8,12.0
2020-06-01,EST009,172.6,10.0
2020-07-01,EST009,143.0,10.0
2020-08-01,EST009,184.8,10.0
2020-09-01,EST009,144.0,10.0
2020-10-01,EST009,205.4,13.0
2020-11-01,EST009,223.8,14.0
2020-12-01,EST009,216.5,12.0
2021-01-01,EST009,226.7,16.0
2021-02-01,EST009,177.7,11.0
2021-03-01,EST009,222.6,13.0
2021-04-01,EST009,175.9,7.0
2021-05-01,EST009,157.9,10.0
2021-06-01,EST009,187.7,15.0
2021-07-01,EST009,134.4,11.0
2021-08-01,EST009,120.6,7.0
2021-09-01,EST009,132.1,8.0
2021-10-01,EST009,205.2,14.0
2021-11-01,EST009,177.0,10.0
2021-12-01,EST009,268.1,18.0
2022-01-01,EST009,166.5,12.0
2022-02-01,EST009,251.4,19.0
2022-03-01,EST009,204.8,14.0
2022-04-01,EST009,178.1,12.0
2022-05-01,EST009,157.4,9.0
2022-06-01,EST009,171.5,10.0
2022-07-01,EST009,151.1,10.0
2022-08-01,EST009,183.4,13.0
2022-09-01,EST009,173.9,13.0
2022-10-01,EST009,193.8,12.0
2022-11-01,EST009,199.9,16.0
2022-12-01,EST009,222.8,14.0
2023-01-01,EST009,226.2,15.0
2023-02-01,EST009,166.2,10.0
2023-03-01,EST009,165.8,7.0
2023-04-01,EST009,199.1,15.0
2023-05-01,EST009,175.3,13.0
2023-06-01,EST009,156.9,10.0
2023-07-01,EST009,152.5,10.0
2023-08-01,EST009,164.5,12.0
2023-09-01,EST009,157.5,8.0
2023-10-01,EST009,170.5,11.0
2023-11-01,EST009,213.9,15.0
2023-12-01,EST009,199.7,11.0
2024-01-01,EST009,228.7,16.0
